Name,CountryID
Afghanistan,4
Aland Islands,248
Albania,8
Algeria,12
American Samoa,16
Andorra,20
Angola,24
Anguilla,660
Antarctica,10
Antigua and Barbuda,28
Argentina,32
Armenia,51
Aruba,533
Australia,36
Austria,40
Azerbaijan,31
Bahamas,44
Bahrain,48
Bangladesh,50
Barbados,52
Belarus,112
Belgium,56
Belize,84
Benin,204
Bermuda,60
Bhutan,64
Bolivia,68
Bosnia and Herzegovina,70
Botswana,72
Bouvet Island,74
Brazil,76
British Indian Ocean Territory,86
Brunei Darussalam,96
Bulgaria,100
Burkina Faso,854
Burundi,108
Cambodia,116
Cameroon,120
Canada,124
Cape Verde,132
Caribbean Netherlands,535
Cayman Islands,136
Central African Republic,140
Chad,148
Chile,152
China,156
Christmas Island,162
Cocos (Keeling) Islands,166
Colombia,170
Comoros,174
Congo,178
Congo (The Democratic Republic Of The),180
Cook Islands,184
Costa Rica,188
Cote D'Ivoire,384
Croatia,191
Cuba,192
Curacao,531
Cyprus,196
Czech Republic,203
Denmark,208
Djibouti,262
Dominica,212
Dominican Republic,214
East Timor,626
Ecuador,218
Egypt,818
El Salvador,222
Equatorial Guinea,226
Eritrea,232
Estonia,233
Ethiopia,231
Falkland Islands,238
Faroe Islands,234
Fiji,242
Finland,246
France,250
France Metropolitan,249
French Guiana,254
French Polynesia,258
French Southern Territories,260
Gabon,266
Gambia,270
Georgia,268
Germany,276
Ghana,288
Gibraltar,292
Greece,300
Greenland,304
Grenada,308
Guadeloupe,312
Guam,316
Guatemala,320
Guernsey,831
Guinea,324
Guinea-Bissau,624
Guyana,328
Haiti,332
Heard Island and McDonald Islands,334
Honduras,340
Hong Kong,344
Hungary,348
Iceland,352
India,356
Indonesia,360
Iran,364
Iraq,368
Ireland,372
Isle of Man,833
Israel,376
Italy,380
Jamaica,388
Japan,392
Jersey,832
Jordan,400
Kazakhstan,398
Kenya,404
Kiribati,296
Kosovo,898
Kuwait,414
Kyrgyzstan,417
Lao People's Republic,418
Latvia,428
Lebanon,422
Lesotho,426
Liberia,430
Libyan Arab Jamahiriya,434
Liechtenstein,438
Lithuania,440
Luxembourg,442
Macau,446
Macedonia,807
Madagascar,450
Malawi,454
Malaysia,458
Maldives,462
Mali,466
Malta,470
Marshall Islands,584
Martinique,474
Mauritania,478
Mauritius,480
Mayotte,175
Mexico,484
Micronesia,583
Moldova,498
Monaco,492
Mongolia,496
Montenegro,499
Montserrat,500
Morocco,504
Mozambique,508
Myanmar,104
Namibia,516
Nauru,520
Nepal,524
Netherlands,528
Netherlands Antilles,530
New Caledonia,540
New Zealand,554
Nicaragua,558
Niger,562
Nigeria,566
Niue,570
Norfolk Island,574
North Korea (People's Republic Of Korea),408
Northern Mariana Islands,580
Norway,578
Oman,512
Pakistan,586
Palau,585
Palestinian Territories,275
Panama,591
Papua New Guinea,598
Paraguay,600
Peru,604
Philippines,608
Pitcairn,612
Poland,616
Portugal,620
Puerto Rico,630
Qatar,634
Reunion,638
Romania,642
Russian Federation,643
Rwanda,646
Saint Barthelemy,652
Saint Kitts and Nevis,659
Saint Lucia,662
Saint Martin,663
Saint Vincent and The Grenadines,670
Samoa,882
San Marino,674
Sao Tome and Principe,678
Saudi Arabia,682
Senegal,686
Serbia (Republic of Serbia),688
Serbia and Montenegro,891
Seychelles,690
Sierra Leone,694
Singapore,702
Sint Maarten,534
Slovakia,703
Slovenia,705
Solomon Islands,90
Somalia,706
South Africa,710
South Georgia and The South Sandwich Islands,239
South Korea (Republic Of Korea),410
South Sudan,728
Spain,724
Sri Lanka,144
St Helena,654
St Pierre and Miquelon,666
Sudan,736
Suriname,740
Svalbard and Jan Mayen Islands,744
Swaziland,748
Sweden,752
Switzerland,756
Syrian Arab Republic,760
Taiwan,158
Tajikistan,762
Tanzania,834
Thailand,764
Togo,768
Tokelau,772
Tonga,776
Trinidad and Tobago,780
Tunisia,788
Turkey,792
Turkmenistan,795
Turks and Caicos Islands,796
Tuvalu,798
Uganda,800
Ukraine,804
United Arab Emirates,784
United Kingdom,826
United States,840
United States Minor Outlying Islands,581
Uruguay,858
Uzbekistan,860
Vanuatu,548
Vatican City State,336
Venezuela,862
Viet Nam,704
Virgin Islands (British),92
Virgin Islands (U.S.),850
Wallis And Futuna Islands,876
Western Sahara,732
Yemen,887
Zaire,897
Zambia,894
Zimbabwe,716
